1	Vosim 99S			Jo Scherpenisse	99S	Vosim		Thuis	Sound synthesizer	Jos Jansen	Ongetest		TMS9900	16bits							?	LU			Hardware_Vosim_99S_picture.jpg
72	SGI 1600SW		42001032	SGI	1600SW	SGI 1600SW	92000497N	Depot	Monitor	Stoneshop	OK														
73	Monroe 1710			Monroe	1710	Monroe Model 1710		Depot	Calculator	Museum	OK		Discrete elektronica									Stoneshop	8 maart 2015		
74	HP Apollo 700			HP	1991A	HP Apollo 700	3147GI0412	Depot	Workstation	Museum	OK		PA-Risc		HP-UX										
75	Amiga 2000 (1)	afstoten		Commodore	2000	Amiga 2000		Awesome Retro	Desktop computer	Awesome Retro			68k									Stoneshop	8 maart 2015		
76	Amiga 2000 (2)			Commodore	2000	Amiga 2000		Awesome Retro	Desktop computer	Awesome Retro			68k									Stoneshop		08-00-2B-87-3C-7E 08-00-2B-87-3C-98	
77	Commodore CBM 3016			Commodore	2001/16	Commodore CBM3016	1211439	Depot	Desktop computer	Museum	Defect		6502												
78			42001021	Sail Computer	2003 07		17676	Depot	PC “Pentium 4”																
79	Wang 2200-S1			Wang	2200-S1	Wang 2200	947024	Depot	Computer	Museum	Defect														
80	Calcomp 2200			Calcomp	22180-02	Calcomp 2200	J7948	Depot	Input Device	Hack42	Werkt?											DND	9 augustus 2014		
81	HP 2382A			HP	2382A	HP 2382A	2301F00983	Depot	Terminal	Museum															
82	HP 2392A			HP	2392A	HP 2392A	2437F06464	Depot	Terminal	Museum	OK														
83	Tandy TRS-80 Model III		42001061	Tandy/Radio Shack	26-1062	Tandy TRS-80 Model III	001255M	Depot	Desktop computer	Museum	OK				TRSDOS						Bix	LU	13 juni 2013		
84	Atari 260ST			Atari	260ST	Atari 260ST		Depot	Homecomputer	Museum			68k								MacSimski	LU	13 juni 2013		
85	HP 2622A			HP	2622A	HP 2622A	2343A82663	Depot	Terminal	Museum	Defect										MacSimski				
86	HP 2627A			HP	2627A	HP 2627A	2313F00418	Depot	Terminal	Museum	Defect										Charles Petrie, MacSimski	LU	13 juni 2013		
87	Asi286			Asi	286	ASI	?	Depot	Portable	Museum			80268									LU	3 september 2013		Hardware_Asi286_picture.jpg
88	IBM 3192			IBM	3192	IBM 3192	5599677	Depot	Terminal	Museum	Defect										MacSimski				
89	Sun 386i/250			Sun	386i/250	Sun 386i/250	936G0415	Depot	Workstation		Defect														
90	3Com Etherlink III			3Com	3C589D-TP	3Com Etherlink III		Depot	Interface	Hack42											MacSimski	ING Exciting museum	12 maart 2015		
91	Kaypro 4/83			Kaypro	4/83	Kaypro 4	78459	Depot	Portable computer	Museum			Z80		CP/M										
92	Kaypro 4/84		42001051	Kaypro	4/84	Kaypro 4	214447	Depot	Portable computer	Museum			Z80		CP/M							Jaap Horsting			
93	Tektronix 4027A			Tektronix	4027A	Tektronix 4027A	B032058	Depot	Grafische terminal	Museum	Defect										MacSimski	LU	18 september 2014		
94	HP 150 (2)			HP	45611A	HP 150	2409F07391	Depot	Desktop computer	Museum	Defect		8086								Typewriters/telex				
95	HP 150 (4)			HP	45611A	HP 150	2409F07365	Depot	Desktop computer	Museum	Defect		8086									DND	9 augustus 2014		
96	HP 150 (3)			HP	45611B	HP 150	2431F06566	Depot	Desktop computer	Museum	Defect		8086								MacSimski, Eightdot				
97	HP 150 (1)			HP	45611B	HP 150	3431F06568	Depot	Desktop computer		Defect											DND	9 augustus 2014		
98			42001066	HP	45849A	150 Touchscreen II	2518A03437	Depot	Monitor													DND	9 augustus 2014		
99	Tektronix 4951 Joystick		42000011	Tektronix	4951 Joystick	Tektronix 4951 Joystick		Depot	Input Device	Museum	OK											DND	9 augustus 2014		Hardware_Tektronix_4951_Joystick_picture.jpg
100	Philips 5010			Philips	5010	Philips 5010		Depot	Desktop computer	Relocker															
